Player-additional,Player,Tm,Age,Pos,G,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushTD,RushFmb,Rec,RecYds,RecTD,RecFmb,2PM,Score
McNeCl00,Clifton McNeil,CLE,26,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,94.0,2.0,0.0,0.0,22.4
TwilHo00,Howard Twilley,MIA,23,WR,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,128.0,0.0,0.0,0.0,17.8
BassGl00,Glenn Bass,BUF,27,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,130.0,0.0,1.0,0.0,16.0
HawkBe00,Ben Hawkins,PHI,22,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,143.0,0.0,3.0,0.0,15.3
HendJo00,John Henderson,DET,23,WR,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,121.0,0.0,0.0,0.0,15.1
SimmJe00,Jerry Simmons,PIT,24,WR,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,68.0,1.0,1.0,0.0,13.8
SherBo00,Bob Sherlag,ATL,23,WR,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,53.0,1.0,0.0,0.0,13.3
HeckSt00,Steve Heckard,RAM,23,WR,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,102.0,0.0,0.0,0.0,12.7
WilbJ.00,J.R. Wilburn,PIT,23,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,103.0,0.0,1.0,0.0,11.8
TurnBa00,Bake Turner,NYJ,26,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,115.0,0.0,2.0,0.0,11.0
CoiaAn00,Angelo Coia,ATL,28,WR,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,93.0,0.0,1.0,0.0,9.3
LongBo00,Bob Long,GNB,24,WR,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,68.0,0.0,0.0,0.0,8.3
PopeBu00,Bucky Pope,RAM,25,WR,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,1.0,0.0,0.0,7.9
