Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
21,Larry Garron,BOS,29,HB,14,13,30,416,13.9,5,61,,2.1,29.7,3,GarrLa00
22,Hewritt Dixon*,OAK,26,FB,14,7,29,345,11.9,4,76,,2.1,24.6,2,DixoHe00
23,Jim Whalen,BOS,23,TE,14,8,29,502,17.3,4,45,,2.1,35.9,0,WhalJi00
24,Paul Costa*,BUF,25,TE,14,14,27,400,14.8,3,50,,1.9,28.6,0,CostPa00
25,Charley Hennigan,HOU,31,FL,14,7,27,313,11.6,3,23,,1.9,22.4,0,HennCh00
26,Dave Kocourek,MIA,29,TE,14,14,27,320,11.9,2,43,,1.9,22.9,0,KocoDa00
27,Gene Foster,SDG,24,FB,14,7,26,260,10.0,2,63,,1.9,18.6,2,FostGe00
28,Jacque MacKinnon*,SDG,28,TE,14,13,26,477,18.3,6,46,,1.9,34.1,0,MacKJa00
29,Bo Roberson,MIA,31,FL,11,7,26,519,20.0,2,80,,2.4,47.2,0,RobeBo00
30,Bob McLeod,HOU,28,TE,14,11,23,339,14.7,3,41,,1.6,24.2,0,McLeBo00
31,Tom Mitchell,OAK,22,TE,14,7,23,301,13.1,1,24,,1.6,21.5,0,MitcTo00
32,Fred Arbanas+,KAN,27,TE,14,14,22,305,13.9,4,36,,1.6,21.8,0,ArbaFr00
33,Joe Auer,MIA,25,LHB,14,14,22,263,12.0,4,27,,1.6,18.8,7,AuerJo00
34,Bill Mathis,NYJ,28,HB,14,7,22,379,17.2,1,70,,1.6,27.1,2,MathBi00
35,Wray Carlton*,BUF,29,FB,14,13,21,280,13.3,0,55,,1.5,20.0,4,CarlWr00
36,Larry Elkins,HOU,23,FL,14,7,21,283,13.5,3,62,,1.5,20.2,0,ElkiLa00
37,Roger Hagberg,OAK,27,HB,14,7,21,248,11.8,1,37,,1.5,17.7,3,HagbRo00
38,Bob Scarpitto*,DEN,27,FL,14,14,21,335,16.0,4,62,,1.5,23.9,1,ScarBo00
39,Sid Blanks,HOU,26,RB,14,2,19,234,12.3,2,42,,1.4,16.7,2,BlanSi00
40,Curtis McClinton*,KAN,27,FB,14,14,19,285,15.0,5,68,,1.4,20.4,2,McClCu00
41,Bert Coan,KAN,26,HB,14,10,18,131,7.3,2,20,,1.3,9.4,3,CoanBe00
42,Fred Biletnikoff,OAK,23,FL,10,7,17,272,16.0,3,78,,1.7,27.2,2,BileFr00
43,Karl Noonan,MIA,22,LE,14,7,17,224,13.2,1,35,,1.2,16.0,0,NoonKa00
