Player-additional,Player,Tm,Age,Pos,G,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushTD,RushFmb,Rec,RecYds,RecTD,RecFmb,2PM,Score
GarrMi00,Mike Garrett*,KAN,22,RB,14,0.0,1.0,0.0,0.0,0.0,147.0,801.0,6.0,5.0,15.0,175.0,1.0,5.0,0.0,137.1
GarrLa00,Larry Garron,BOS,29,RB,14,0.0,0.0,0.0,0.0,0.0,101.0,319.0,4.0,3.0,30.0,416.0,5.0,3.0,0.0,136.5
BrowTi01,Timmy Brown,PHI,29,RB,13,0.0,0.0,0.0,0.0,0.0,161.0,548.0,3.0,4.0,33.0,371.0,3.0,4.0,0.0,136.4
CarlWr00,Wray Carlton*,BUF,29,RB,14,0.0,0.0,0.0,0.0,0.0,156.0,696.0,6.0,4.0,21.0,280.0,0.0,4.0,0.0,136.1
RolaJo00,Johnny Roland*,STL,23,RB,14,5.0,8.0,130.0,1.0,0.0,192.0,695.0,5.0,4.0,21.0,213.0,0.0,4.0,0.0,132.5
AsbuWi00,Willie Asbury,PIT,23,RB,14,0.0,1.0,0.0,0.0,0.0,169.0,544.0,7.0,6.0,19.0,228.0,2.0,6.0,0.0,128.7
CoanBe00,Bert Coan,KAN,26,RB,14,1.0,1.0,18.0,1.0,0.0,96.0,521.0,7.0,3.0,18.0,131.0,2.0,3.0,0.0,126.92
DixoHe00,Hewritt Dixon*,OAK,26,RB,14,0.0,0.0,0.0,0.0,0.0,68.0,277.0,5.0,2.0,29.0,345.0,4.0,2.0,0.0,126.7
MoorTo00,Tom Moore,RAM,28,RB,14,1.0,1.0,20.0,0.0,0.0,104.0,272.0,1.0,1.0,60.0,433.0,3.0,1.0,0.0,123.3
BurrOd00,Ode Burrell,HOU,27,RB,14,1.0,1.0,9.0,0.0,0.0,122.0,406.0,0.0,3.0,33.0,400.0,5.0,3.0,0.0,121.46
CoffJu00,Junior Coffey,ATL,24,RB,14,0.0,0.0,0.0,0.0,0.0,199.0,722.0,4.0,4.0,15.0,182.0,1.0,4.0,0.0,119.9
