Player Name,Team,Minutes Played,Player Link,Player State
Alex Condon,FLORIDA,603,https://www.espn.com/mens-college-basketball/player/_/id/5174657/alex-condon,WA
Thomas Haugh,FLORIDA,642,https://www.espn.com/mens-college-basketball/player/_/id/5080489/thomas-haugh,PA
Denzel Aberdeen,FLORIDA,553,https://www.espn.com/mens-college-basketball/player/_/id/5105527/denzel-aberdeen,FL
Rueben Chinyelu,FLORIDA,543,https://www.espn.com/mens-college-basketball/player/_/id/5174971/rueben-chinyelu,Ni
Sam Alexis,FLORIDA,284,https://www.espn.com/mens-college-basketball/player/_/id/5107375/sam-alexis,FL
Urban Klavzar,FLORIDA,177,https://www.espn.com/mens-college-basketball/player/_/id/5238200/urban-klavzar,Sl
Isaiah Brown,FLORIDA,63,https://www.espn.com/mens-college-basketball/player/_/id/5144372/isaiah-brown,FL
Micah Handlogten,FLORIDA,50,https://www.espn.com/mens-college-basketball/player/_/id/5108992/micah-handlogten,NC
Kajus Kublickas,FLORIDA,28,https://www.espn.com/mens-college-basketball/player/_/id/5174659/kajus-kublickas,Li
Bennett Andersen,FLORIDA,7,https://www.espn.com/mens-college-basketball/player/_/id/5174658/bennett-andersen,FL
Cooper Josefsberg,FLORIDA,4,https://www.espn.com/mens-college-basketball/player/_/id/5174660/cooper-josefsberg,FL
Kevin Pazmino,FLORIDA,2,https://www.espn.com/mens-college-basketball/player/_/id/5238199/kevin-pazmino,FL
Viktor Mikic,FLORIDA,7,https://www.espn.com/mens-college-basketball/player/_/id/5238201/viktor-mikic,Se
Amar Augillard,FRESNO STATE,224,https://www.espn.com/mens-college-basketball/player/_/id/4897222/amar-augillard,IL
Jalen Weaver,FRESNO STATE,830,https://www.espn.com/mens-college-basketball/player/_/id/4684168/jalen-weaver,CO
Alex Crawford,FRESNO STATE,832,https://www.espn.com/mens-college-basketball/player/_/id/4897620/alex-crawford,CA
Zaon Collins,FRESNO STATE,870,https://www.espn.com/mens-college-basketball/player/_/id/5241239/zaon-collins,NV
Mykell Robinson,FRESNO STATE,569,https://www.espn.com/mens-college-basketball/player/_/id/4702772/mykell-robinson,TX
Elijah Price,FRESNO STATE,852,https://www.espn.com/mens-college-basketball/player/_/id/5176317/elijah-price,CA
Brian Amuneke,FRESNO STATE,477,https://www.espn.com/mens-college-basketball/player/_/id/5241241/brian-amuneke,CA
David Douglas Jr.,FRESNO STATE,98,https://www.espn.com/mens-college-basketball/player/_/id/5176815/david-douglas-jr,IL
Jasir Tremble,FRESNO STATE,418,https://www.espn.com/mens-college-basketball/player/_/id/5241235/jasir-tremble,DC
Mor Seck,FRESNO STATE,379,https://www.espn.com/mens-college-basketball/player/_/id/5107205/mor-seck,Se
Pierre Geneste Jr.,FRESNO STATE,162,https://www.espn.com/mens-college-basketball/player/_/id/5106879/pierre-geneste-jr,Ha
Joshua Bonga,FRESNO STATE,65,https://www.espn.com/mens-college-basketball/player/_/id/5241237/joshua-bonga,Ge
Micah Peavy,GEORGETOWN,950,https://www.espn.com/mens-college-basketball/player/_/id/4432185/micah-peavy,TX
Thomas Sorber,GEORGETOWN,752,https://www.espn.com/mens-college-basketball/player/_/id/5061603/thomas-sorber,NJ
Malik Mack,GEORGETOWN,838,https://www.espn.com/mens-college-basketball/player/_/id/5175952/malik-mack,MD
Jayden Epps,GEORGETOWN,606,https://www.espn.com/mens-college-basketball/player/_/id/5105791/jayden-epps,VA
